Customer Name,Periode,Sales Doc,Sales Item,Material No,Material Desc, Sales Qty , Total Amount 
OSP,January 2022,2900000106,1200,WBMF,Finished Welded Beam, 1 , 3 
PT. HJT,January 2022,2100000819,10,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 10 ," 27,981 "
PT. IB,January 2022,2100001281,10,PLTF,Finished Baby Plate, 6 ," 149,355 "
PT. BE,January 2022,2100001247,10,HRCF,Finished Hot Rolled Coil," 116,810 "," 1,662,054 "
O&C,January 2022,2900000037,30,WBMF,Finished Welded Beam, 2 , 2 
PT. HJT,January 2022,2100000752,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 3 ," 47,791 "
PT. SPA,January 2022,2100000302,20,CRCF,Finished Cold Rolled Coil," 46,570 "," 770,501 "
FSC,January 2022,1200000004,830,PLTF,Finished Baby Plate, 10 , - 
PT. HJT,January 2022,2100000974,20,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 2 ," 58,752 "
FSC,January 2022,1200000026,1230,PLTF,Finished Baby Plate," 1,432 ", - 
FSC,January 2022,1200000004,990,PLTF,Finished Baby Plate, 3 , - 
CRM,January 2022,1200000029,210,HRCF,Finished Hot Rolled Coil," 51,638 ", - 
PT. HJT,January 2022,2100001172,160,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 3 ," 55,848 "
FSC,January 2022,1200000015,1540,PLTF,Finished Baby Plate," 15,072 ", - 
PT. HJT,January 2022,2100000428,70,CPLF,Finished Coil Plate, 30 ," 62,573 "
PT. PNS,January 2022,2100001061,20,CPLF,Finished Coil Plate, 195 ," 571,406 "
PT. HJT,January 2022,2100001090,10,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 13 ," 242,006 "
PT. HJT,January 2022,2100000614,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 5 ," 79,412 "
PT. BBM,January 2022,2100001394,40,EPBF-0000000035,"JIS G 3445 STKM 11A 2""(60.3)x2.2x6000"," 1,500 "," 454,612 "
PT. HJT,January 2022,2100001153,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 30 ," 122,830 "
PT. HJT,January 2022,2100000768,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 2 ," 20,495 "
